created_time,_id,positive,negative,neutral,compound,subjectivity,flair,flair score,aspect terms,aspect tb polarity,aspect tb subjectivity,aspect flair
2016-06-02T07:42:28+0000,,0,0,1,0,0,POSITIVE,0.939650118350983,,0,0,0
2016-07-01T06:15:26+0000,,0.152,0.115,0.733,0.1779,0.6,NEGATIVE,-0.915328741073608,good/,0.7,0.6,0.931395173072815
2017-03-25T18:33:19+0000,,0,0.16,0.84,-0.743,0.36,NEGATIVE,-0.955537259578705,reasonable/religious/,0.1,0.425,0.956818044185638
2016-07-20T14:08:42+0000,,0,0.237,0.763,-0.5659,0.6,NEGATIVE,-0.990842223167419,too old/,0.1,0.2,-0.99983823299408
2017-02-07T23:15:45+0000,,0.111,0,0.889,0.3612,1,NEGATIVE,-0.668739438056946,final/,0,1,0.955391883850098
2017-01-15T10:01:04+0000,,0.259,0,0.741,0.2732,0,POSITIVE,0.984713733196259,,0,0,0
2016-11-09T21:37:53+0000,,0,0,1,0,0,NEGATIVE,-0.554620563983917,,0,0,0
2016-11-17T19:05:11+0000,,0,0,1,0,0,NEGATIVE,-0.998017311096191,,0,0,0
2016-11-16T20:11:30+0000,,0.043,0.248,0.709,-0.9186,0.333333333333333,NEGATIVE,-0.999970078468323,own/barbaric/british/,0.2,0.333333333333333,0.307477136452993
2017-01-26T12:15:43+0000,,0,0,1,0,0,POSITIVE,0.961418688297272,,0,0,0
2016-06-03T23:49:19+0000,,0.079,0.128,0.793,-0.34,0.95,NEGATIVE,-0.981063067913055,massive/,0,1,-0.953988969326019
2017-03-09T14:28:11+0000,,0.237,0,0.763,0.4767,1,POSITIVE,0.977975904941559,proud/,0.8,1,0.993694365024567
2016-05-31T06:08:35+0000,,0,0,1,0,0,POSITIVE,0.975818276405335,,0,0,0
2017-02-28T16:10:29+0000,,0.425,0,0.575,0.5719,1,POSITIVE,0.994432747364044,happy/,0.8,1,0.983936667442322
2017-02-10T09:44:26+0000,,0,0.16,0.84,-0.0857,0.1,NEGATIVE,-0.997065365314484,,0,0,0
2017-03-25T01:40:16+0000,,0,0.217,0.783,-0.3597,0,NEGATIVE,-0.998818814754486,Vulcan/,0,0,0.851044774055481
2016-08-30T11:42:08+0000,,0,0,1,0,0,NEGATIVE,-0.999118506908417,Islamic/,0,0,0.968011438846588
2017-01-23T15:31:47+0000,,0.257,0,0.743,0.4939,0.657142857142857,POSITIVE,0.986556708812714,fair/,0.7,0.9,-0.99515163898468
2016-08-08T14:49:00+0000,,0.115,0,0.885,0.3818,0,NEGATIVE,-0.999143362045288,so pissy/barbaric/,0,0,-0.999960601329804
