created_time,_id,positive,negative,neutral,compound,subjectivity,flair,flair score,aspect terms,aspect tb polarity,aspect tb subjectivity,aspect flair
2016-06-30T23:12:47+0000,,0,0.123,0.877,-0.3041,0.395833333333333,NEGATIVE,-0.969030559062958,logical/Ã¢ÂÂGreat/,0.125,0.125,0.971611738204956
2017-01-07T12:35:22+0000,,0,0.111,0.889,-0.128,0.333333333333333,NEGATIVE,-0.994488477706909,academic/overwhelmingly left/,0,0,0.000288397073745728
2016-07-25T16:44:18+0000,,0.35,0,0.65,0.8271,0,NEGATIVE,-0.965133428573608,gouarnamant/,0,0,0.995710134506226
2016-09-10T07:49:31+0000,,0,0,1,0,0,POSITIVE,0.997899413108826,,0,0,0
2016-12-08T11:00:00+0000,,0.125,0,0.875,0.5106,0,NEGATIVE,-0.736830174922943,jolly/,0,0,0.9908327460289
2017-01-12T21:56:07+0000,,0,0,1,0,0,POSITIVE,0.994012176990509,victorious/,0,0,0.997191846370697
2016-05-31T06:11:29+0000,,0,0,1,0,0.288888888888889,NEGATIVE,-0.852319896221161,numerical/,0,0,0.965987026691437
2016-07-12T06:39:37+0000,,1,0,0,0.0258,0,NEGATIVE,-0.982176661491394,,0,0,0
2016-05-31T06:11:29+0000,,0,0,1,0,1,POSITIVE,0.999423146247864,,0,0,0
2016-06-27T15:40:39+0000,,0.243,0,0.757,0.8519,0.375,POSITIVE,0.986848175525665,outside jolly old/huge/happy/even few/English/heavy/,0.141666666666667,0.4375,0.0148927668730418
2016-07-16T18:39:10+0000,,0,0,1,0,0,POSITIVE,0.547831833362579,,0,0,0
2016-06-01T10:33:56+0000,,0,0,1,0,0.125,POSITIVE,0.968445718288422,fellow/same/,0,0.0625,0.755813747644424
2016-06-22T22:05:13+0000,,0.351,0,0.649,0.4019,0.333333333333333,POSITIVE,0.790080785751343,,0,0,0
2017-03-02T17:39:38+0000,,0.045,0.288,0.667,-0.926,0.583333333333333,NEGATIVE,-0.860613763332367,french/unable/brutal/many/bataclan/,-0.175,0.4,0.174515533447266
2016-07-25T16:44:18+0000,,0.123,0,0.877,0.4497,1,NEGATIVE,-0.896774768829346,,0,0,0
2017-02-17T10:51:34+0000,,0,0,1,0,0,POSITIVE,0.996054410934448,,0,0,0
2016-06-22T21:02:47+0000,,0.072,0.077,0.851,-0.0258,0.166666666666667,POSITIVE,0.812977492809296,Selfless/,0,0,-0.756847202777863
2016-05-31T06:11:29+0000,,0,0.218,0.782,-0.7783,0.269230769230769,NEGATIVE,-0.996896862983704,false/complete/regular/ample/,-0.075,0.269230769230769,0.00720570981502533
2016-07-15T13:53:39+0000,,0,0,1,0,0.375,NEGATIVE,-0.996380031108856,multi/-/kulti/other/cultural/,-0.005,0.095,0.568583071231842
2016-06-21T21:52:35+0000,,0,0,1,0,0.333333333333333,NEGATIVE,-0.919933557510376,first/,0.25,0.333333333333333,0.912291407585144
2016-06-08T06:18:30+0000,,0.13,0,0.87,0.4019,0.5,POSITIVE,0.983796775341034,lesser/,0,0.5,-0.991211950778961
2016-09-10T07:49:31+0000,,0.05,0,0.95,0.2023,0.318181818181818,NEGATIVE,-0.997314751148224,top/,0.5,0.5,0.99587893486023
2016-06-22T21:02:47+0000,,0,0.065,0.935,-0.1027,0.194444444444444,POSITIVE,0.99643087387085,,0,0,0
2016-06-22T22:15:09+0000,,0.174,0,0.826,0.2263,0,NEGATIVE,-0.978329062461853,prepared/,0,0,0.991618990898132
2016-06-21T12:11:04+0000,,0,0,1,0,0.5,NEGATIVE,-0.967273533344269,,0,0,0
2016-07-15T12:18:52+0000,,0.114,0.219,0.667,-0.2732,0.55,NEGATIVE,-0.999645233154297,blue/,0,0.1,0.941060423851013
2016-07-11T18:59:47+0000,,0,0.091,0.909,-0.4767,0.357142857142857,NEGATIVE,-0.98637330532074,right/same/incorrect/wrong/,-0.0535714285714286,0.390178571428571,-0.122122570872307
2016-06-24T18:19:14+0000,,0.658,0,0.342,0.8625,0.5,POSITIVE,0.994597673416138,better/,0.5,0.5,0.981102883815765
2016-07-03T23:11:31+0000,,0,0,1,0,0,POSITIVE,0.983761250972748,,0,0,0
2016-06-21T12:11:04+0000,,0,0,1,0,0.4,POSITIVE,0.997566819190979,Wide/,-0.1,0.4,-0.667449474334717
2016-06-08T06:18:30+0000,,0,0,1,0,0,POSITIVE,0.94075870513916,,0,0,0
2016-06-08T06:18:30+0000,,0,0,1,0,0.5,NEGATIVE,-0.948637843132019,,0,0,0
