created_time,_id,positive,negative,neutral,compound,subjectivity,flair,flair score,aspect terms,aspect tb polarity,aspect tb subjectivity,aspect flair
2016-11-06T10:27:15+0000,,0,0,1,0,0.619047619047619,POSITIVE,0.856902122497559,corrupt/little/,-0.34375,0.75,-0.853928059339523
2016-07-19T00:34:08+0000,,0.677,0,0.323,0.6369,0.6,POSITIVE,0.995249271392822,,0,0,0
2016-06-25T05:20:30+0000,,0.112,0.19,0.698,-0.0082,0.425,NEGATIVE,-0.998942911624908,young/more/,0.3,0.45,0.973537653684616
2017-03-14T11:38:57+0000,,0.266,0,0.734,0.4404,0.6,POSITIVE,0.991479516029358,good/,0.7,0.6,0.931395173072815
2016-10-18T18:38:18+0000,,0,0,1,0,0,NEGATIVE,-0.977602183818817,,0,0,0
2017-02-07T14:29:45+0000,,0.125,0.263,0.612,-0.5023,0,POSITIVE,0.675354838371277,close/,0,0,0.928549408912659
2017-03-05T19:39:24+0000,,0,0,1,0,0.6,NEGATIVE,-0.979126870632172,different/,0,0.6,-0.909278690814972
2017-02-08T10:04:14+0000,,0.455,0,0.545,0.3612,0.5,POSITIVE,0.801437735557556,more/,0.5,0.5,0.992647409439087
2016-06-22T10:39:23+0000,,0,0,1,0,0,NEGATIVE,-0.947642385959625,,0,0,0
2016-11-30T14:50:32+0000,,0,0.294,0.706,-0.3612,0,NEGATIVE,-0.780782818794251,,0,0,0
2016-06-20T12:48:04+0000,,0.77,0,0.23,0.7717,0.9,POSITIVE,0.996323347091675,fantastic/,0.4,0.9,0.993227064609528
2016-06-23T22:44:22+0000,,0.381,0,0.619,0.7308,1,POSITIVE,0.965709090232849,grand/,0.5,1,0.985902428627014
2016-06-20T19:02:52+0000,,0.114,0,0.886,0.4019,0.383333333333333,POSITIVE,0.99073201417923,fundamental/,0,0,0.999440133571625
2017-03-24T15:54:54+0000,,0.347,0.347,0.306,0,0,POSITIVE,0.990832626819611,,0,0,0
2016-10-18T15:35:19+0000,,0.07,0.392,0.538,-0.8481,0.6,NEGATIVE,-0.999965310096741,useless/pathetic/,-0.75,0.6,-0.999923050403595
2016-05-28T19:30:23+0000,,0.068,0.095,0.838,-0.25,0.5,NEGATIVE,-0.978852450847626,cheap/,0.4,0.7,-0.99755185842514
2017-01-19T07:13:28+0000,,0.254,0,0.746,0.5267,0,POSITIVE,0.781674563884735,British/,0,0,0.95611697435379
2016-11-03T17:37:44+0000,,0.128,0.18,0.693,-0.296,0.596296296296296,NEGATIVE,-0.996642112731934,British/dangerous/sure/,-0.0333333333333333,0.596296296296296,0.314934134483337
2017-02-21T19:46:13+0000,,0.231,0,0.769,0.4019,0.108333333333333,POSITIVE,0.973376572132111,,0,0,0
2016-12-15T10:56:21+0000,,0.228,0.09,0.681,0.8176,0.4625,NEGATIVE,-0.999209642410278,enough/utter/ukip/moral/,0,0.4375,-0.286093890666962
2016-07-03T11:34:39+0000,,0,0,1,0,0,NEGATIVE,-0.991383254528046,,0,0,0
2016-04-16T21:45:24+0000,,0,0,1,0,0.1,POSITIVE,0.856462240219116,,0,0,0
2016-07-05T23:58:57+0000,,0,0,1,0,0.4,NEGATIVE,-0.996819257736206,narrow/minded/,-0.1,0.2,-0.000700831413269043
2017-03-23T12:34:08+0000,,0,0,1,0,0,POSITIVE,0.910381078720093,,0,0,0
2016-11-28T17:09:25+0000,,0,0,1,0,0,NEGATIVE,-0.895532429218292,,0,0,0
2016-10-20T07:54:42+0000,,0,0,1,0,0,NEGATIVE,-0.93197226524353,,0,0,0
2016-06-24T23:05:59+0000,,0,0,1,0,0,POSITIVE,0.964244723320007,,0,0,0
2016-06-17T00:14:09+0000,,0.082,0.094,0.824,-0.1027,0.51875,POSITIVE,0.988691091537476,private/individual/,0,0.3875,0.981919169425964
2016-06-28T02:16:23+0000,,0.084,0.077,0.839,0.0258,0.125,POSITIVE,0.957041800022125,independent/,0,0.125,0.998295485973358
2016-10-09T08:00:38+0000,,0,0,1,0,0.38,POSITIVE,0.997474849224091,near/,0.1,0.4,-0.577035665512085
2016-06-25T14:15:09+0000,,0.069,0.133,0.798,-0.296,0,NEGATIVE,-0.99329137802124,,0,0,0
2017-03-14T10:20:48+0000,,0,0,1,0,1,POSITIVE,0.997779190540314,,0,0,0
2016-11-08T16:35:18+0000,,0,0,1,0,0,POSITIVE,0.98389995098114,,0,0,0
2016-06-23T19:18:29+0000,,0,0,1,0,0,POSITIVE,0.979897797107697,,0,0,0
2016-11-29T18:08:00+0000,,0,0,1,0,0,POSITIVE,0.996581494808197,,0,0,0
2016-11-24T15:30:05+0000,,0,0,1,0,0,NEGATIVE,-0.998276114463806,,0,0,0
