created_time,_id,positive,negative,neutral,compound,subjectivity,flair,flair score,aspect terms,aspect tb polarity,aspect tb subjectivity,aspect flair,lexicon score
2016-06-02T07:42:28+0000,,0,0,1,0,0,POSITIVE,0.939649999141693,,0,0,0,0
2016-07-01T06:15:26+0000,,0.152,0.115,0.733,0.1779,0.6,NEGATIVE,-0.915329456329346,good/good/good/good/good/good/good/good/good/good/,0.7,0.6,0.931395292282105,0.0727
2017-03-25T18:33:19+0000,,0,0.16,0.84,-0.743,0.36,NEGATIVE,-0.955536842346191,reasonable/reasonable/reasonable/reasonable/reasonable/reasonable/reasonable/reasonable/reasonable/reasonable/reasonable/reasonable/reasonable/reasonable/reasonable/reasonable/reasonable/reasonable/reasonable/reasonable/reasonable/reasonable/reasonable/reasonable/religious/religious/religious/religious/religious/,0.16551724137931,0.539655172413793,0.94583176538862,-0.1851
2016-07-20T14:08:42+0000,,0,0.237,0.763,-0.5659,0.6,NEGATIVE,-0.990842223167419,too old/,0.1,0.2,-0.99983823299408,-0.159
2017-02-07T23:15:45+0000,,0.111,0,0.889,0.3612,1,NEGATIVE,-0.668738067150116,final/final/,0,1,0.955391883850098,0.1952
2017-01-15T10:01:04+0000,,0.259,0,0.741,0.2732,0,POSITIVE,0.984713613986969,,0,0,0,0.0809
2016-11-09T21:37:53+0000,,0,0,1,0,0,NEGATIVE,-0.554620087146759,,0,0,0,0
2016-11-17T19:05:11+0000,,0,0,1,0,0,NEGATIVE,-0.998479306697846,,0,0,0,0.0633
2016-11-16T20:11:30+0000,,0.043,0.248,0.709,-0.9186,0.333333333333333,NEGATIVE,-0.999970078468323,own/own/barbaric/barbaric/barbaric/barbaric/barbaric/barbaric/barbaric/barbaric/barbaric/barbaric/barbaric/barbaric/barbaric/barbaric/british/british/,0.0666666666666667,0.111111111111111,-0.564152273866865,-0.9082
2017-01-26T12:15:43+0000,,0,0,1,0,0,POSITIVE,0.961418688297272,,0,0,0,0.0404
2016-06-03T23:49:19+0000,,0.079,0.128,0.793,-0.34,0.95,NEGATIVE,-0.981062948703766,massive/massive/massive/massive/massive/massive/massive/massive/,0,1,-0.953988969326019,-0.1953
2017-03-09T14:28:11+0000,,0.237,0,0.763,0.4767,1,POSITIVE,0.977975785732269,proud/proud/proud/proud/,0.8,1,0.993694365024567,0.2426
2016-05-31T06:08:35+0000,,0,0,1,0,0,POSITIVE,0.975818395614624,,0,0,0,0
2017-02-28T16:10:29+0000,,0.425,0,0.575,0.5719,1,POSITIVE,0.994432747364044,happy/happy/happy/happy/,0.8,1,0.983936667442322,0.0728
2017-02-10T09:44:26+0000,,0,0.16,0.84,-0.0857,0.1,NEGATIVE,-0.997065365314484,,0,0,0,-0.1434
2017-03-25T01:40:16+0000,,0,0.217,0.783,-0.3597,0,NEGATIVE,-0.998818814754486,Vulcan/Vulcan/Vulcan/Vulcan/Vulcan/Vulcan/,0,0,0.851044237613678,-0.296
2016-08-30T11:42:08+0000,,0,0,1,0,0,NEGATIVE,-0.999118506908417,Islamic/,0,0,0.968011558055878,-0.0459
2017-01-23T15:31:47+0000,,0.257,0,0.743,0.4939,0.657142857142857,POSITIVE,0.986556708812714,fair/fair/fair/fair/fair/fair/fair/fair/fair/fair/fair/fair/fair/,0.7,0.9,-0.995151519775391,0.3484
2016-08-08T14:49:00+0000,,0.115,0,0.885,0.3818,0,NEGATIVE,-0.999143362045288,so pissy/so pissy/so pissy/so pissy/so pissy/so pissy/so pissy/so pissy/so pissy/so pissy/so pissy/barbaric/barbaric/barbaric/barbaric/barbaric/barbaric/,0,0,-0.999958725536571,0.422
2016-07-26T14:23:08+0000,,0,0.208,0.792,-0.743,0.5,NEGATIVE,-0.999954342842102,civil/civil/civil/civil/civil/civil/civil/civil/civil/European/European/European/barbaric/barbaric/barbaric/barbaric/barbaric/barbaric/barbaric/barbaric/barbaric/barbaric/barbaric/barbaric/barbaric/,0,0,-0.0736811518669129,-0.4242
2016-06-17T10:58:25+0000,,0,0.333,0.667,-0.7579,0.5,NEGATIVE,-0.999792397022247,most barbaric/most barbaric/imaginable/imaginable/imaginable/imaginable/imaginable/imaginable/imaginable/,0.111111111111111,0.111111111111111,0.555384417374929,nan
2016-07-25T16:46:12+0000,,0,0.492,0.508,-0.7717,0.791666666666667,NEGATIVE,-0.995289087295532,Hysterical/Hysterical/Hysterical/Hysterical/Hysterical/Hysterical/Hysterical/absolutly ridiculous/absolutly ridiculous/contradictory/contradictory/contradictory/other/other/,-0.565476190476191,0.696428571428571,0.0317637324333191,-0.291
2017-03-17T17:05:55+0000,,0.744,0,0.256,0.4404,0.888888888888889,NEGATIVE,-0.986921668052673,,0,0,0,0.1023
2016-10-06T16:11:30+0000,,0,0.196,0.804,-0.875,0.3875,NEGATIVE,-0.999990105628967,total/total/total/total/total/total/total/total/total/total/total/total/total/total/total/total/total/total/total/total/total/total/total/total/total/total/total/total/filthier/filthier/filthier/filthier/filthier/filthier/filthier/filthier/filthier/filthier/filthier/filthier/filthier/filthier/filthier/filthier/filthier/filthier/filthier/filthier/filthier/filthier/,0,0.42,0.118067090511322,-0.773
2017-02-28T16:10:29+0000,,0,0.18,0.82,-0.6705,0.208333333333333,NEGATIVE,-0.975097894668579,enough/enough/enough/enough/enough/enough/enough/enough/enough/British/British/British/British/British/paranoid/paranoid/paranoid/paranoid/paranoid/paranoid/paranoid/paranoid/paranoid/foreign/foreign/,-0.01,0.19,-0.460365831851959,-0.3516
2017-02-15T08:54:00+0000,,0,0,1,0,0,POSITIVE,0.770731389522553,,0,0,0,0
2017-02-21T11:40:17+0000,,0,0,1,0,0.678571428571429,NEGATIVE,-0.996744513511658,only partly right/only partly right/only partly right/only partly right/only partly right/only partly right/only partly right/many/many/many/many/many/many/many/many/many/,0.34375,0.6171875,0.110648792237043,0.3706
2016-11-16T19:47:34+0000,,0,0.375,0.625,-0.4588,0,NEGATIVE,-0.994694530963898,,0,0,0,-0.4118
2016-06-22T08:46:56+0000,,0.158,0.103,0.738,0.2528,0.5,NEGATIVE,-0.991022050380707,more/more/more/more/more/more/more/more/more/more/more/more/,0.5,0.5,0.992647409439087,0.1964
2016-03-19T10:24:53+0000,,0,0,1,0,0,POSITIVE,0.955207228660584,,0,0,0,0
2017-01-26T11:09:19+0000,,0,0,1,0,0,POSITIVE,0.914583086967468,,0,0,0,0
2016-06-08T14:15:44+0000,,0,0,1,0,0,POSITIVE,0.979877531528473,,0,0,0,0
2017-03-23T11:24:35+0000,,0,0.328,0.672,-0.5994,0,NEGATIVE,-0.99976259469986,barbaric/,0,0,-0.999966979026794,-0.617
2017-02-28T16:10:29+0000,,0.171,0.083,0.746,0.5647,0.48125,NEGATIVE,-0.671673536300659,comfortable/comfortable/comfortable/generous/generous/generous/generous/generous/generous/generous/generous/generous/generous/ok/ok/ok/ok/ok/ok/foreign/foreign/,0.188095238095238,0.269047619047619,0.671500194640387,-0.0011
2016-06-18T13:08:13+0000,,0,0.273,0.727,-0.7761,0,NEGATIVE,-0.998975396156311,,0,0,0,-0.7396
2016-06-08T14:15:44+0000,,0,0,1,0,0.3,NEGATIVE,-0.99958723783493,short/short/short/short/short/short/short/short/short/short/short/short/short/short/,0,0.3,-0.983299076557159,0.1341
2017-03-10T09:38:52+0000,,0,0,1,0,0,POSITIVE,0.999583303928375,,0,0,0,0
2017-01-15T14:42:00+0000,,0.068,0.077,0.855,-0.0772,0.32962962962963,NEGATIVE,-0.999990224838257,sure/sure/sure/sure/sure/sure/sure/sure/proper/proper/proper/proper/botanical/botanical/botanical/botanical/botanical/botanical/botanical/botanical/botanical/botanical/botanical/botanical/thorn/thorn/thorn/thorn/thorn/thorn/thorn/thorn/,0.125,0.234722222222222,0.515953980386257,0.0803
2016-06-24T22:44:39+0000,,0.211,0.119,0.67,0.4215,0.375,POSITIVE,0.959860622882843,great/great/great/great/great/great/great/,0.8,0.75,0.99007648229599,-0.0745
2016-06-24T16:29:27+0000,,0.487,0,0.513,0.2263,0.9,POSITIVE,0.990433216094971,surprised/,0.1,0.9,0.993702530860901,0.0605
2016-11-20T05:11:07+0000,,0,0,1,0,0,POSITIVE,0.923136532306671,,0,0,0,0.0328
2016-06-20T01:55:19+0000,,0,0.189,0.811,-0.5423,1,NEGATIVE,-0.999491572380066,barbaric/barbaric/barbaric/barbaric/barbaric/barbaric/barbaric/civilised/civilised/,0,0,-0.561283018853929,0.0897
2016-06-08T14:15:44+0000,,0,0.161,0.839,-0.6124,0,POSITIVE,0.990700542926788,,0,0,0,0.1596
2016-10-28T11:11:50+0000,,0,0,0,0,0,POSITIVE,0.646349966526032,,0,0,0,0
2016-08-14T11:45:48+0000,,0,0.078,0.922,-0.2755,0.5,POSITIVE,0.5209099650383,own/own/,0.6,1,0.966281414031982,0.3013
2017-02-14T17:55:41+0000,,0,0,1,0,0.227272727272727,POSITIVE,0.873435139656067,new/new/new/new/new/new/new/new/new/new/new/new/new/new/new/new/new/new/,0.136363636363636,0.454545454545454,0.998695313930512,0.2387
2017-03-11T19:38:43+0000,,0,0,1,0,0,NEGATIVE,-0.996258854866028,,0,0,0,0.0738
2016-06-24T20:05:26+0000,,0,0.444,0.556,-0.296,0,POSITIVE,0.732786893844605,,0,0,0,0.0043
2016-11-20T21:16:55+0000,,0,0,1,0,0.5,POSITIVE,0.984777331352234,,0,0,0,-0.0831
2017-03-14T21:22:14+0000,,0,0,1,0,0.5125,POSITIVE,0.809808492660523,whole/whole/whole/whole/whole/able/able/able/able/able/able/able/,0.375,0.53125,0.991843417286873,nan
