created_time,_id,positive,negative,neutral,compound,subjectivity,flair,flair score,aspect terms,aspect tb polarity,aspect tb subjectivity,aspect flair,lexicon score
2016-06-30T23:12:47+0000,,0,0.123,0.877,-0.3041,0.395833333333333,NEGATIVE,-0.998030364513397,logical/logical/logical/logical/logical/logical/logical/logical/ÃÂ¢ÃÂÃÂGreat/ÃÂ¢ÃÂÃÂGreat/,0.2,0.2,0.999137854576111,-0.0557
2017-01-07T12:35:22+0000,,0,0.111,0.889,-0.128,0.333333333333333,NEGATIVE,-0.994488477706909,academic/academic/academic/academic/overwhelmingly left/overwhelmingly left/overwhelmingly left/overwhelmingly left/overwhelmingly left/overwhelmingly left/overwhelmingly left/overwhelmingly left/overwhelmingly left/overwhelmingly left/,0,0,-0.426893251282828,0.0221
2016-07-25T16:44:18+0000,,0.35,0,0.65,0.8271,0,NEGATIVE,-0.831680417060852,gouarnamant/,0,0,0.995710134506226,0.8271
2016-09-10T07:49:31+0000,,0,0,1,0,0,POSITIVE,0.997899413108826,,0,0,0,0
2016-12-08T11:00:00+0000,,0.125,0,0.875,0.5106,0,POSITIVE,0.791542232036591,jolly/jolly/jolly/jolly/jolly/jolly/jolly/jolly/jolly/jolly/jolly/jolly/jolly/jolly/jolly/jolly/jolly/,0,0,0.9908327460289,0.1193
2017-01-12T21:56:07+0000,,0,0,1,0,0,POSITIVE,0.994012176990509,victorious/victorious/victorious/victorious/victorious/victorious/victorious/victorious/victorious/victorious/victorious/victorious/victorious/victorious/victorious/victorious/victorious/victorious/victorious/,0,0,0.997191846370697,0.1157
2016-05-31T06:11:29+0000,,0,0,1,0,0.288888888888889,NEGATIVE,-0.852319955825806,numerical/numerical/,0,0,0.965987026691437,-0.0018
2016-07-12T06:39:37+0000,,1,0,0,0.0258,0,NEGATIVE,-0.982176780700684,,0,0,0,0.0258
2016-05-31T06:11:29+0000,,0,0,1,0,1,POSITIVE,0.999423146247864,,0,0,0,0.094
2016-06-27T15:40:39+0000,,0.243,0,0.757,0.8519,0.375,POSITIVE,0.986848056316376,outside jolly old/outside jolly old/outside jolly old/outside jolly old/outside jolly old/outside jolly old/huge/huge/huge/happy/happy/happy/happy/happy/happy/happy/happy/happy/happy/happy/happy/even few/English/English/English/heavy/heavy/heavy/heavy/heavy/heavy/,0.312903225806452,0.598387096774193,0.328237966183693,0.6543
2016-07-16T18:39:10+0000,,0,0,1,0,0,POSITIVE,0.547832369804382,,0,0,0,0
