created_time,_id,positive,negative,neutral,compound,subjectivity,flair,flair score,aspect terms,aspect tb polarity,aspect tb subjectivity,aspect flair,lexicon score
2016-11-06T10:27:15+0000,,0,0,1,0,0.619047619047619,POSITIVE,0.856901466846466,corrupt/corrupt/corrupt/corrupt/corrupt/corrupt/corrupt/little/little/little/little/little/,-0.369791666666667,0.791666666666667,-0.878043835361799,0.0278
2016-07-19T00:34:08+0000,,0.677,0,0.323,0.6369,0.6,POSITIVE,0.995249271392822,,0,0,0,0.6369
2016-06-25T05:20:30+0000,,0.112,0.19,0.698,-0.0082,0.425,NEGATIVE,-0.998942911624908,young/young/young/young/young/young/due/due/due/due/due/more/more/more/more/,0.131666666666667,0.418333333333333,0.907104742527008,0.3618
2017-03-14T11:38:57+0000,,0.266,0,0.734,0.4404,0.6,POSITIVE,0.991479516029358,good/good/good/good/,0.7,0.6,0.931395292282105,0.0818
2016-10-18T18:38:18+0000,,0,0,1,0,0,NEGATIVE,-0.977602064609528,,0,0,0,0.0334
2017-02-07T14:29:45+0000,,0.125,0.263,0.612,-0.5023,0,POSITIVE,0.675354659557343,close/close/close/close/close/close/,0,0,0.928549408912659,-0.378
2017-03-05T19:39:24+0000,,0,0,1,0,0.6,NEGATIVE,-0.979126989841461,different/,0,0.6,-0.909278512001038,0.0738
2017-02-08T10:04:14+0000,,0.455,0,0.545,0.3612,0.5,POSITIVE,0.801438808441162,more/more/,0.5,0.5,0.992647409439087,0.3612
2016-06-22T10:39:23+0000,,0,0,1,0,0,NEGATIVE,-0.947642385959625,,0,0,0,0
2016-11-30T14:50:32+0000,,0,0.294,0.706,-0.3612,0,NEGATIVE,-0.780783891677856,,0,0,0,-0.3232
2016-06-20T12:48:04+0000,,0.77,0,0.23,0.7717,0.9,POSITIVE,0.996323347091675,fantastic/fantastic/fantastic/fantastic/fantastic/,0.4,0.9,0.993227064609528,0.5391
2016-06-23T22:44:22+0000,,0.381,0,0.619,0.7308,1,POSITIVE,0.965708911418915,grand/grand/grand/grand/grand/grand/grand/grand/grand/grand/grand/grand/,0.5,1,0.985902309417725,0.5738
2016-06-20T19:02:52+0000,,0.114,0,0.886,0.4019,0.383333333333333,POSITIVE,0.99073201417923,fundamental/fundamental/fundamental/fundamental/fundamental/fundamental/fundamental/fundamental/fundamental/fundamental/fundamental/,0,0,0.999440133571625,0.0825
2017-03-24T15:54:54+0000,,0.347,0.347,0.306,0,0,POSITIVE,0.990832626819611,,0,0,0,0
2016-10-18T15:35:19+0000,,0.07,0.392,0.538,-0.8481,0.6,NEGATIVE,-0.999965310096741,useless/pathetic/pathetic/,-0.833333333333333,0.733333333333333,-0.999923706054688,-0.0199
2016-05-28T19:30:23+0000,,0.068,0.095,0.838,-0.25,0.5,NEGATIVE,-0.978852331638336,cheap/cheap/cheap/cheap/cheap/cheap/cheap/cheap/,0.4,0.7,-0.99755185842514,-0.5132
2017-01-19T07:13:28+0000,,0.254,0,0.746,0.5267,0,POSITIVE,0.781674683094025,British/British/,0,0,0.95611697435379,0.6125
2016-11-03T17:37:44+0000,,0.128,0.18,0.693,-0.296,0.596296296296296,NEGATIVE,-0.996642112731934,British/British/British/British/British/dangerous/dangerous/dangerous/sure/sure/sure/sure/sure/sure/sure/,0.113333333333333,0.594814814814815,0.579185708363851,0.2285
2017-02-21T19:46:13+0000,,0.231,0,0.769,0.4019,0.108333333333333,POSITIVE,0.973376452922821,,0,0,0,0.4749
2016-12-15T10:56:21+0000,,0.228,0.09,0.681,0.8176,0.4625,NEGATIVE,-0.999209642410278,enough/enough/enough/enough/enough/enough/enough/enough/enough/utter/utter/spineless/spineless/spineless/spineless/spineless/spineless/spineless/spineless/spineless/spineless/spineless/spineless/spineless/spineless/spineless/spineless/spineless/spineless/spineless/spineless/spineless/spineless/spineless/spineless/spineless/moral/moral/,0,0.184210526315789,-0.796007208133999,0.6704
2016-07-03T11:34:39+0000,,0,0,1,0,0,NEGATIVE,-0.991383254528046,,0,0,0,0.0654
